id,name,node_type,country,paper_count,best_paper_count,group,centrality
https://openalex.org/I95457486,"University of California, Berkeley",institution,,17,0,,12
https://openalex.org/I74973139,Carnegie Mellon University,institution,,15,0,,11
https://openalex.org/I97018004,Stanford University,institution,,14,0,,10
https://openalex.org/I63966007,Massachusetts Institute of Technology,institution,,11,0,,11
https://openalex.org/I205783295,Cornell University,institution,,8,0,,3
https://openalex.org/I4210085935,IBM Research - Almaden,institution,,8,0,,9
https://openalex.org/I1341412227,IBM (United States),institution,,8,0,,21
https://openalex.org/I24603500,University of Massachusetts Amherst,institution,,8,0,,10
https://openalex.org/I201448701,University of Washington,institution,,7,0,,5
https://openalex.org/I1297971548,International Computer Science Institute,institution,,7,0,,6
https://openalex.org/I1343180700,Intel (United States),institution,,7,0,,15
https://openalex.org/I72090969,Nokia (United States),institution,,7,0,,5
https://openalex.org/I185261750,University of Toronto,institution,,6,0,,8
https://openalex.org/I141945490,University of British Columbia,institution,,6,0,,0
https://openalex.org/I1283103587,AT&T (United States),institution,,5,0,,6
https://openalex.org/I1290206253,Microsoft (United States),institution,,5,0,,7
https://openalex.org/I1324840837,Hewlett-Packard (United States),institution,,5,0,,6
https://openalex.org/I36258959,"University of California, San Diego",institution,,4,0,,3
https://openalex.org/I20089843,Princeton University,institution,,4,0,,7
https://openalex.org/I2801204180,Marina Del Rey Hospital,institution,,4,0,,7
https://openalex.org/I1174212,University of Southern California,institution,,4,0,,6
https://openalex.org/I27837315,University of Michigan–Ann Arbor,institution,,4,0,,4
https://openalex.org/I4210164937,Microsoft Research (United Kingdom),institution,,4,0,,5
https://openalex.org/I241749,University of Cambridge,institution,,3,0,,2
https://openalex.org/I66946132,"University of Maryland, College Park",institution,,3,0,,2
https://openalex.org/I1331384533,University of Hawaii System,institution,,3,0,,8
https://openalex.org/I4210162662,Digital Equipment (Germany),institution,,3,0,,0
https://openalex.org/I173498003,Palo Alto Research Center,institution,,3,0,,2
https://openalex.org/I86519309,The University of Texas at Austin,institution,,3,0,,17
